FID	osm_id	Xstart	Ystart	Xend	Yend	length	startid	endid
1447	169549513	114.3567757	30.5412625	114.356435	30.5410846	38.18261524	758	738
1448	169549509	114.3567757	30.5412625	114.357091	30.5410546	41.31235907	758	805
1449	219727230	114.3488799	30.54128415	114.3488445	30.54127105	3.695067365	106	105
1450	172746558	114.3504976	30.53864147	114.3488799	30.54128415	331.565817	186	106
1451	103948547	114.3535684	30.541288	114.3528414	30.5411746	70.88648748	462	383
1452	402823352	114.352996	30.5409101	114.3535684	30.541288	90.64763934	394	462
1453	219727230	114.3489344	30.5413043	114.3488799	30.54128415	5.685273476	109	106
1454	236801238	114.3498838	30.5397815	114.3489344	30.5413043	191.8449004	156	109
1455	103642344	114.3593877	30.5412909	114.3589187	30.5410849	50.46812912	981	959
1456	358205733	114.3593877	30.5412909	114.3596032	30.5409041	47.60770657	981	995
1457	103940635	114.3646921	30.5413062	114.366695	30.5407602	252.0994415	1193	1238
1458	103938246	114.3571509	30.5413335	114.357091	30.5410546	31.98702013	814	805
1459	103942710	114.3486699	30.5413569	114.3487476	30.5412352	15.41519389	91	96
1460	103948547	114.3542761	30.5413983	114.3535684	30.541288	69.00279963	529	462
1461	103948557	114.3542167	30.5411166	114.3542761	30.5413983	34.56656868	524	529
1462	103940635	114.3646851	30.5413777	114.3646921	30.5413062	7.955135332	1192	1193
1463	103940637	114.3646851	30.5413777	114.3631633	30.5414285	146.1400092	1192	1164
1464	103940634	114.3627264	30.5414431	114.3618268	30.5409267	135.2600563	1152	1114
1465	402823360	114.3631633	30.5414285	114.3627264	30.5414431	41.95600281	1164	1152
1466	103938246	114.3572582	30.5414721	114.3571509	30.5413335	18.49649272	823	814
1467	127188016	114.3484846	30.5415047	114.3486699	30.5413569	24.20792464	78	91
1468	169549509	114.3568131	30.5414911	114.3567757	30.5412625	25.92287316	767	758
1469	103938247	114.3568131	30.5414911	114.3571509	30.5413335	36.82410813	767	814
1470	172746558	114.3488799	30.54128415	114.348786	30.54151475	27.22090197	106	101
1471	236801238	114.3489344	30.5413043	114.348786	30.54151475	27.37218135	109	101
1472	171733391	114.3488445	30.54127105	114.3487857	30.54151513	28.09273233	105	100
1473	236801238	114.348786	30.54151475	114.3487857	30.54151513	0.053069734	101	100
1474	171733391	114.3487857	30.54151513	114.3487856	30.54151606	0.103216627	100	99
1475	172746558	114.348786	30.54151475	114.3487856	30.54151606	0.151105787	101	99
1476	103642349	114.36677	30.5408175	114.3666964	30.5414698	72.66019759	1239	1237
1477	103948547	114.3556695	30.5412549	114.3542761	30.5413983	142.4472929	647	529
1478	103642344	114.3599671	30.5415186	114.3593877	30.5412909	61.2011775	1022	981
1479	103642344	114.3600886	30.5405014	114.3599671	30.5415186	114.1194807	1029	1022
1480	127188016	114.3483591	30.54157307	114.3484846	30.5415047	14.2317508	67	78
1481	84246296	114.3526098	30.541565	114.3528414	30.5411746	48.6534826	361	383
1482	171733391	114.3487856	30.54151606	114.3487728	30.5416307	12.76878559	99	98
1483	172746558	114.3487856	30.54151606	114.3487525	30.5416342	13.47722534	99	97
1484	103642351	114.3487728	30.5416307	114.3487525	30.5416342	1.986279163	98	97
1485	103642351	114.3486647	30.54164376	114.3484846	30.5415047	23.15987189	89	78
1486	103755114	114.3486647	30.54164376	114.3488022	30.5412554	45.2633214	89	103
1487	103642351	114.3486706	30.5416483	114.3486647	30.54164376	0.756897087	90	89
1488	236801238	114.3487857	30.54151513	114.3486706	30.5416483	18.43849266	100	90
1489	103642351	114.3487525	30.5416342	114.3486706	30.5416483	8.012983922	97	90
1490	103755114	114.3486636	30.54165014	114.3486647	30.54164376	0.716336011	88	89
1491	127188020	114.3486706	30.5416483	114.3486636	30.54165014	0.702523601	90	88
1492	358205734	114.3646921	30.5413062	114.3662773	30.5416138	159.2503871	1193	1225
1493	103642349	114.3666964	30.5414698	114.3662773	30.5416138	43.26937501	1237	1225
1494	103642351	114.3488968	30.5416776	114.3487728	30.5416307	12.98536731	107	98
1495	103755114	114.3486584	30.54167976	114.3486636	30.54165014	3.320472594	86	88
1496	99145247	114.3486584	30.54167976	114.3486706	30.5416483	3.678290183	86	90
1497	103940630	114.36791	30.5405695	114.3666964	30.5414698	343.1747792	1264	1237
1498	358205771	114.3534493	30.5417324	114.3526098	30.541565	82.66795181	444	361
1499	402823353	114.3535684	30.541288	114.3534493	30.5417324	50.57582003	462	444
1500	127188019	114.3483456	30.5417481	114.3483169	30.54174396	2.801077077	66	63
1501	127188020	114.3486636	30.54165014	114.3483456	30.5417481	32.41410162	88	66
1502	127188020	114.3483456	30.5417481	114.3483135	30.5417576	3.261624818	66	62
1503	103938246	114.3588269	30.5417684	114.3572582	30.5414721	154.1041047	956	823
1504	169549511	114.3584345	30.5408722	114.3588269	30.5417684	115.3449631	942	956
1505	103945443	114.3685373	30.5417637	114.3718371	30.5374609	589.5350994	1282	1336
1506	103945443	114.3685373	30.5417637	114.368577	30.5416849	9.530540088	1282	1285
1507	309850914	114.3618268	30.5409267	114.3617249	30.5417953	96.79102258	1114	1109
1508	84246296	114.3524459	30.5418416	114.3526098	30.541565	34.46286144	358	361
1509	358205771	114.3541505	30.5418722	114.3534493	30.5417324	69.04850204	515	444
1510	103948542	114.3542761	30.5413983	114.3541505	30.5418722	53.9027974	529	515
1511	99145247	114.3486706	30.5416483	114.3486855	30.54190327	28.3034396	90	93
1512	172746558	114.3487525	30.5416342	114.3486855	30.54190327	30.51798635	97	93
1513	127188019	114.3485669	30.541916	114.3483456	30.5417481	29.73802472	83	66
1514	99145247	114.3485669	30.541916	114.3486584	30.54167976	27.62361677	83	86
